field,quad,subquad,raedge1,raedge2,decedge1,decedge2
1137,3,0,87.35114872512264,88.69915569722428,-16.0607994905808,-14.782060506936995
1137,3,1,87.36551578683718,88.70577071180742,-14.820225035352442,-13.541123106898732
1137,3,2,88.64177571646094,89.98219008880238,-16.07122933028183,-14.784750804542378
1137,3,3,88.64875866971765,89.98150031843649,-14.830293606956992,-13.544099240278712
1138,0,0,89.71324852141827,91.0960544477535,-18.490552515525053,-17.228690579000197
1138,0,1,89.7454487368835,91.1188117520144,-17.250107532629926,-15.98775636003715
1138,0,2,91.02098199754391,92.39498791423705,-18.517243685720118,-17.246228686466477
1138,0,3,91.04440338624931,92.40905897052434,-17.27631799715819,-16.005478450194275
1138,1,0,89.777359967384,91.14082826095881,-16.008328784270784,-14.744992109984402
1138,1,1,89.80697680200477,91.1625465346249,-14.767878132401217,-13.504089267547217
1138,1,2,91.06758334515678,92.42367281750239,-16.033544910106063,-14.762401550943848
1138,1,3,91.08984873517981,92.4381002055734,-14.792648971390719,-13.521701160524698
1138,2,0,92.32978984225242,93.69549054239816,-18.534528230035363,-17.25577553071654
1138,2,1,92.34510006599798,93.70156041412527,-17.29385642853773,-16.014729551458753
1138,2,2,93.6379837349654,94.9946177325368,-18.545078326184182,-17.257268870265072
1138,2,3,93.64448371087512,94.99199197347934,-17.304034129177715,-16.016514098211136
1138,3,0,92.36024148389002,93.70795560300395,-16.051140134672725,-14.772283217615788
1138,3,1,92.37443276281685,93.714402915109,-14.810589750438728,-13.531370975204336
1138,3,2,93.65075639631475,94.99088221227548,-16.061431218456768,-14.774841494802489
1138,3,3,93.6575693542882,94.99003059504001,-14.82052060500249,-13.534215967262291
1139,0,0,94.71662767065695,96.09931664211004,-18.484709718701566,-17.222820318265114
1139,0,1,94.74879826105781,96.12204887051398,-17.24429020416926,-15.981911838377778
1139,0,2,96.02427415083307,97.39816631419043,-18.511348654178256,-17.24031015140867
1139,0,3,96.04766983332148,97.41221615722975,-17.27044868939286,-15.999585832330197
1139,1,0,94.78033681951786,96.14402728666839,-16.002563477884696,-14.739040633726752
1139,1,1,94.81000613681914,96.16579852892085,-14.761908650462322,-13.497933182926566
1139,1,2,96.07072048629693,97.42703341817088,-16.027805024914198,-14.756475917609103
1139,1,3,96.09303937198766,97.44151468894125,-14.786704497853016,-13.515570803117896
1139,2,0,97.33309629122819,98.69868338477605,-18.528622737294256,-17.250032050042385
1139,2,1,97.34847397999314,98.70482515353667,-17.28806642772709,-16.00910119882359
1139,2,2,98.64110798575776,99.99763436621686,-18.53921352373331,-17.251570609004336
1139,2,3,98.64768063194646,99.99508549986909,-17.29828447688638,-16.010930412989886
1139,3,0,97.36344378991876,98.71136119606197,-16.045380237846025,-14.766493636573124
1139,3,1,97.37775618616993,98.71793023304258,-14.804710118756796,-13.52546087508176
1139,3,2,98.65403119282811,99.99436343761181,-16.055763236815622,-14.769144813068431
1139,3,3,98.66096723308593,99.99363531866378,-14.814732137551161,-13.528398187059182
1140,0,0,99.7007032993197,101.08335208038113,-18.468335766881747,-17.206361841460925
1140,0,1,99.73291202001151,101.1061317373624,-17.227883748900823,-15.965420658119696
1140,0,2,101.00826334942442,102.38212396620186,-18.49492589570234,-17.223810953710167
1140,0,3,101.03170644673362,102.39623024255593,-17.253993243114675,-15.983053773825254
1140,1,0,99.7675889700929,101.13122229836353,-15.98758175344609,-14.724073970670208
1140,1,1,99.7973074270833,101.15305133025774,-14.74696632248101,-13.483005727941002
1140,1,2,101.05785947214879,102.41412376130104,-16.012798426830688,-14.741492186319777
1140,1,3,101.0802362114742,102.42867129016008,-14.771737124914544,-13.500626059004672
1140,2,0,102.33567850953277,103.69896696760259,-18.51860249674643,-17.238833130264304
1140,2,1,102.34941530224496,103.7035035777085,-17.278539470032737,-15.998406946612945
1140,2,2,103.64310591219667,104.997322857769,-18.527554088884127,-17.238756494011948
1140,2,3,103.64805017050242,104.993183089516,-17.28712920999301,-15.998630918711743
1140,3,0,102.35044344306347,103.69820361104026,-16.030454371407085,-14.751487310019268
1140,3,1,102.36471039494215,103.70473675509308,-14.789823996902264,-13.510494570789067
1140,3,2,103.64091594857874,104.98109850766522,-16.04071976360102,-14.754029181342405
1140,3,3,103.64781523978485,104.98034305081997,-14.799728674919436,-13.513322788272058
1141,0,0,104.70329200230086,106.08610038674112,-18.462491638210846,-17.200786810850452
1141,0,1,104.73564484677219,106.10902553466613,-17.222048199586695,-15.959853284325701
